# Community Standard Skyglow Data Format 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE/LU
# Instrument ID: 6368
# Data supplier: Tim Brothers - MIT Wallace Astrophysical Observatory
# Location name: Westford, MA
# Position (lat, lon, elev(m)): +42.6100, -71.4840, +105
# Local timezone: America/New_York
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0, 0
# Field of view (degrees): 20
# Number of fields per line: 6
# SQM serial number: 6368
# SQM firmware version: 4-3-80
# SQM cover offset value: -0.15
# SQM readout test ix: i,00000004,00000003,00000080,00006368
# SQM readout test rx: r, 00.00m,0000530569Hz,0000000000c,0000000.000s, 038.6C
# SQM readout test cx: c,00000019.95m,0000112.509s, 021.2C,00000008.71m, 024.1C
# Comment: Data acquired by SQM Reader Pro v3.2.2.0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2026-06-26T15:12:40.000;2026-06-26T10:12:40.000;38.6;;;0
2026-06-26T15:14:40.000;2026-06-26T10:14:40.000;38.3;;;0
2026-06-26T15:16:40.000;2026-06-26T10:16:40.000;38;;;0
2026-06-26T15:18:40.000;2026-06-26T10:18:40.000;37.7;;;0
2026-06-26T15:20:40.000;2026-06-26T10:20:40.000;37.7;;;0
2026-06-26T15:22:40.000;2026-06-26T10:22:40.000;37.7;;;0
2026-06-26T15:24:40.000;2026-06-26T10:24:40.000;37.7;;;0
2026-06-26T15:26:40.000;2026-06-26T10:26:40.000;38.3;;;0
2026-06-26T15:28:40.000;2026-06-26T10:28:40.000;38.3;;;0
2026-06-26T15:30:40.000;2026-06-26T10:30:40.000;38.6;;;0
2026-06-26T15:32:40.000;2026-06-26T10:32:40.000;38.6;;;0
2026-06-26T15:34:40.000;2026-06-26T10:34:40.000;39;;;0
2026-06-26T15:36:40.000;2026-06-26T10:36:40.000;39;;;0
2026-06-26T15:38:40.000;2026-06-26T10:38:40.000;39.3;;;0
2026-06-26T15:40:40.000;2026-06-26T10:40:40.000;39;;;0
2026-06-26T15:42:40.000;2026-06-26T10:42:40.000;39;;;0
2026-06-26T15:44:40.000;2026-06-26T10:44:40.000;39;;;0
2026-06-26T15:46:40.000;2026-06-26T10:46:40.000;38.3;;;0
2026-06-26T15:48:40.000;2026-06-26T10:48:40.000;38.3;;;0
2026-06-26T15:50:40.000;2026-06-26T10:50:40.000;38;;;0
2026-06-26T15:52:40.000;2026-06-26T10:52:40.000;38;;;0
2026-06-26T15:54:40.000;2026-06-26T10:54:40.000;38;;;0
2026-06-26T15:56:40.000;2026-06-26T10:56:40.000;38;;;0
2026-06-26T15:58:40.000;2026-06-26T10:58:40.000;37.7;;;0
2026-06-26T16:00:40.000;2026-06-26T11:00:40.000;37.7;;;0
2026-06-26T16:02:40.000;2026-06-26T11:02:40.000;38;;;0
2026-06-26T16:04:40.000;2026-06-26T11:04:40.000;37.7;;;0
2026-06-26T16:06:40.000;2026-06-26T11:06:40.000;37.7;;;0
2026-06-26T16:08:40.000;2026-06-26T11:08:40.000;37.7;;;0
2026-06-26T16:10:40.000;2026-06-26T11:10:40.000;38;;;0
2026-06-26T16:12:40.000;2026-06-26T11:12:40.000;38.3;;;0
2026-06-26T16:14:40.000;2026-06-26T11:14:40.000;38.3;;;0
2026-06-26T16:16:40.000;2026-06-26T11:16:40.000;38.3;;;0
2026-06-26T16:18:40.000;2026-06-26T11:18:40.000;38;;;0
2026-06-26T16:20:40.000;2026-06-26T11:20:40.000;38;;;0
2026-06-26T16:22:40.000;2026-06-26T11:22:40.000;38;;;0
2026-06-26T16:24:40.000;2026-06-26T11:24:40.000;38;;;0
2026-06-26T16:26:40.000;2026-06-26T11:26:40.000;38;;;0
2026-06-26T16:28:40.000;2026-06-26T11:28:40.000;38;;;0
2026-06-26T16:30:40.000;2026-06-26T11:30:40.000;38.3;;;0
2026-06-26T16:32:40.000;2026-06-26T11:32:40.000;38.6;;;0
