# Community Standard Skyglow Data Format 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE/LU
# Instrument ID: 6368
# Data supplier: Tim Brothers - MIT Wallace Astrophysical Observatory
# Location name: Westford, MA
# Position (lat, lon, elev(m)): +42.6100, -71.4840, +105
# Local timezone: America/New_York
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0, 0
# Field of view (degrees): 20
# Number of fields per line: 6
# SQM serial number: 6368
# SQM firmware version: 4-3-80
# SQM cover offset value: -0.15
# SQM readout test ix: i,00000004,00000003,00000080,00006368
# SQM readout test rx: r, 19.49m,0000000002Hz,0000302215c,0000000.656s, 029.9C
# SQM readout test cx: c,00000019.95m,0000112.509s, 021.2C,00000008.71m, 024.1C
# Comment: Data acquired by SQM Reader Pro v3.2.2.0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2026-06-25T05:11:49.000;2026-06-25T00:11:49.000;29.9;;;19.49
2026-06-25T05:14:10.000;2026-06-25T00:14:10.000;29.9;;;19.55
2026-06-25T05:16:10.000;2026-06-25T00:16:10.000;29.9;;;19.63
2026-06-25T05:18:10.000;2026-06-25T00:18:10.000;29.9;;;19.68
2026-06-25T05:20:10.000;2026-06-25T00:20:10.000;29.9;;;19.68
2026-06-25T05:22:10.000;2026-06-25T00:22:10.000;29.9;;;19.66
2026-06-25T05:24:10.000;2026-06-25T00:24:10.000;29.9;;;19.6
2026-06-25T05:26:10.000;2026-06-25T00:26:10.000;29.9;;;19.59
2026-06-25T05:28:10.000;2026-06-25T00:28:10.000;29.9;;;19.56
2026-06-25T05:30:10.000;2026-06-25T00:30:10.000;29.9;;;19.48
2026-06-25T05:32:10.000;2026-06-25T00:32:10.000;29.9;;;19.46
2026-06-25T05:34:10.000;2026-06-25T00:34:10.000;29.9;;;19.42
2026-06-25T05:36:10.000;2026-06-25T00:36:10.000;29.6;;;19.38
2026-06-25T05:38:10.000;2026-06-25T00:38:10.000;29.6;;;19.38
2026-06-25T05:40:10.000;2026-06-25T00:40:10.000;29.6;;;19.27
2026-06-25T05:42:10.000;2026-06-25T00:42:10.000;29.6;;;19.18
2026-06-25T05:44:10.000;2026-06-25T00:44:10.000;29.6;;;19.26
2026-06-25T05:46:10.000;2026-06-25T00:46:10.000;29.6;;;19.34
2026-06-25T05:48:10.000;2026-06-25T00:48:10.000;29.6;;;19.45
2026-06-25T05:50:10.000;2026-06-25T00:50:10.000;29.6;;;19.62
2026-06-25T05:52:10.000;2026-06-25T00:52:10.000;29.6;;;19.79
2026-06-25T05:54:10.000;2026-06-25T00:54:10.000;29.6;;;19.86
2026-06-25T05:56:11.000;2026-06-25T00:56:11.000;29.3;;;19.88
2026-06-25T05:58:10.000;2026-06-25T00:58:10.000;29.3;;;19.9
2026-06-25T06:00:10.000;2026-06-25T01:00:10.000;29.3;;;19.91
2026-06-25T06:02:10.000;2026-06-25T01:02:10.000;29.3;;;19.93
2026-06-25T06:04:10.000;2026-06-25T01:04:10.000;29.3;;;19.94
2026-06-25T06:06:11.000;2026-06-25T01:06:11.000;29.3;;;19.96
2026-06-25T06:08:11.000;2026-06-25T01:08:11.000;29.3;;;19.97
2026-06-25T06:10:11.000;2026-06-25T01:10:11.000;29.3;;;19.98
2026-06-25T06:12:11.000;2026-06-25T01:12:11.000;29.3;;;19.99
2026-06-25T06:14:10.000;2026-06-25T01:14:10.000;29.3;;;20
2026-06-25T06:16:11.000;2026-06-25T01:16:11.000;29;;;20.02
2026-06-25T06:18:11.000;2026-06-25T01:18:11.000;29;;;20.03
2026-06-25T06:20:11.000;2026-06-25T01:20:11.000;29;;;20.05
2026-06-25T06:22:11.000;2026-06-25T01:22:11.000;29;;;20.05
2026-06-25T06:24:11.000;2026-06-25T01:24:11.000;29;;;20.07
