# Community Standard Skyglow Data Format 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE/LU
# Instrument ID: 6368
# Data supplier: Tim Brothers - MIT Wallace Astrophysical Observatory
# Location name: Westford, MA
# Position (lat, lon, elev(m)): +42.6100, -71.4840, +105
# Local timezone: America/New_York
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0, 0
# Field of view (degrees): 20
# Number of fields per line: 6
# SQM serial number: 6368
# SQM firmware version: 4-3-80
# SQM cover offset value: -0.15
# SQM readout test ix: i,00000004,00000003,00000080,00006368
# SQM readout test rx: r, 00.00m,0000531107Hz,0000000000c,0000000.000s, 050.6C
# SQM readout test cx: c,00000019.95m,0000112.509s, 021.2C,00000008.71m, 024.1C
# Comment: Data acquired by SQM Reader Pro v3.2.2.0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2025-09-04T17:50:07.000;2025-09-04T12:50:07.000;50.6;;;0
2025-09-04T17:52:08.000;2025-09-04T12:52:08.000;50.6;;;0
2025-09-04T17:54:08.000;2025-09-04T12:54:08.000;50.6;;;0
2025-09-04T17:56:08.000;2025-09-04T12:56:08.000;50.9;;;0
2025-09-04T17:58:08.000;2025-09-04T12:58:08.000;51.2;;;0
2025-09-04T18:00:08.000;2025-09-04T13:00:08.000;51.2;;;0
2025-09-04T18:02:08.000;2025-09-04T13:02:08.000;51.2;;;0
2025-09-04T18:04:08.000;2025-09-04T13:04:08.000;51.2;;;0
2025-09-04T18:06:08.000;2025-09-04T13:06:08.000;50.2;;;0
2025-09-04T18:08:08.000;2025-09-04T13:08:08.000;50.9;;;0
2025-09-04T18:10:08.000;2025-09-04T13:10:08.000;50.9;;;0
2025-09-04T18:12:08.000;2025-09-04T13:12:08.000;50.6;;;0
2025-09-04T18:14:08.000;2025-09-04T13:14:08.000;51.2;;;0
2025-09-04T18:16:08.000;2025-09-04T13:16:08.000;50.9;;;0
2025-09-04T18:18:08.000;2025-09-04T13:18:08.000;51.2;;;0
2025-09-04T18:20:08.000;2025-09-04T13:20:08.000;50.9;;;0
2025-09-04T18:22:08.000;2025-09-04T13:22:08.000;49.6;;;0
2025-09-04T18:24:08.000;2025-09-04T13:24:08.000;49.9;;;0
2025-09-04T18:26:08.000;2025-09-04T13:26:08.000;49.6;;;0
2025-09-04T18:28:08.000;2025-09-04T13:28:08.000;50.2;;;0
2025-09-04T18:30:08.000;2025-09-04T13:30:08.000;50.2;;;0
2025-09-04T18:32:08.000;2025-09-04T13:32:08.000;50.2;;;0
2025-09-04T18:34:08.000;2025-09-04T13:34:08.000;48.9;;;0
2025-09-04T18:36:08.000;2025-09-04T13:36:08.000;48.3;;;0
2025-09-04T18:38:08.000;2025-09-04T13:38:08.000;48;;;0
2025-09-04T18:40:08.000;2025-09-04T13:40:08.000;47.3;;;0
2025-09-04T18:42:08.000;2025-09-04T13:42:08.000;47.3;;;0
2025-09-04T18:44:08.000;2025-09-04T13:44:08.000;48;;;0
2025-09-04T18:46:08.000;2025-09-04T13:46:08.000;48;;;0
2025-09-04T18:48:08.000;2025-09-04T13:48:08.000;48.6;;;0
